example_id                                              | status  | run_time        |
./spec/routing/gigs_routing_spec.rb[1:1:5]              | passed  | 0.00161 seconds |
./spec/routing/gigs_routing_spec.rb[1:1:6]              | passed  | 0.00181 seconds |
./spec/routing/gigs_routing_spec.rb[1:1:7]              | passed  | 0.0016 seconds  |
./spec/routing/gigs_routing_spec.rb[1:1:8]              | passed  | 0.01853 seconds |
./spec/routing/users_routing_spec.rb[1:1:1]             | passed  | 0.00313 seconds |
./spec/routing/users_routing_spec.rb[1:1:2]             | passed  | 0.00351 seconds |
./spec/routing/users_routing_spec.rb[1:1:3]             | passed  | 0.00293 seconds |
./spec/routing/users_routing_spec.rb[1:1:4]             | passed  | 0.00297 seconds |
./spec/routing/users_routing_spec.rb[1:1:5]             | passed  | 0.00294 seconds |
./spec/routing/users_routing_spec.rb[1:1:6]             | passed  | 0.00287 seconds |
./spec/routing/users_routing_spec.rb[1:1:7]             | passed  | 0.0032 seconds  |
./spec/routing/users_routing_spec.rb[1:1:8]             | passed  | 0.003 seconds   |
./spec/views/gigs/new.html.haml_spec.rb[1:1]            | passed  | 0.16633 seconds |
./spec/views/users/new.html.haml_spec.rb[1:1]           | passed  | 0.84838 seconds |
